FRAEX38873_v2_000000010.1	XP_022875841.1	92.9	480	33	1	1	479	1	480	0.0	885
FRAEX38873_v2_000000020.1	XP_022875844.1	94.6	573	30	1	1	572	1	573	0.0	1060
FRAEX38873_v2_000000030.1	XP_022875845.1	97.3	562	15	0	1	562	1	562	0.0	1126
FRAEX38873_v2_000000040.1	XP_022876695.1	90.2	264	25	1	1	263	270	533	2.64e-164	466
FRAEX38873_v2_000000050.1	XP_022875848.1	59.8	97	19	2	1	77	1	97	6.78e-27	94.4
FRAEX38873_v2_000000060.1	XP_022876696.1	98.8	81	1	0	24	104	10	90	5.46e-47	150
FRAEX38873_v2_000000070.1	XP_022876697.1	89.5	363	38	0	69	431	45	407	2.22e-223	618
FRAEX38873_v2_000000080.1	XP_022875849.1	93.5	294	19	0	1	294	1	294	3.37e-192	529
FRAEX38873_v2_000000090.1	XP_022875958.1	88.6	105	11	1	1	104	1	105	1.32e-60	181
FRAEX38873_v2_000000100.1	XP_022875957.1	92.9	326	23	0	1	326	160	485	1.91e-204	569
FRAEX38873_v2_000000110.1	XP_022896743.1	90.3	300	25	1	1	300	1	296	3.73e-164	458
FRAEX38873_v2_000000120.1	XP_022879316.1	92.6	580	42	1	2	581	4	582	0.0	1039
FRAEX38873_v2_000000130.1	XP_022896750.1	94.3	106	6	0	1	106	1	106	3.11e-71	207
FRAEX38873_v2_000000140.1	XP_022896753.1	89.7	97	9	1	1	96	1	97	1.68e-57	172
FRAEX38873_v2_000000150.1	XP_022860044.1	89.7	97	10	0	1	97	1	97	5.22e-59	176
FRAEX38873_v2_000000160.1	XP_022860030.1	85.4	96	14	0	1	96	1	96	1.19e-55	167
FRAEX38873_v2_000000170.1	XP_022896752.1	81.4	97	18	0	1	97	1	97	1.39e-54	165
FRAEX38873_v2_000000180.1	XP_022896752.1	86.6	97	13	0	109	205	1	97	4.44e-55	171
FRAEX38873_v2_000000190.1	XP_022872078.1	90.0	100	10	0	1	100	1	100	1.72e-63	187
FRAEX38873_v2_000000200.1	XP_022897730.1	75.9	83	15	1	1	78	60	142	1.54e-40	130
FRAEX38873_v2_000000210.1	XP_022860020.1	92.4	329	25	0	49	377	1	329	4.87e-215	592
FRAEX38873_v2_000000220.1	XP_022860003.1	87.9	124	15	0	109	232	53	176	7.15e-78	242
FRAEX38873_v2_000000230.1	XP_022860010.1	90.7	183	17	0	17	199	172	354	3.22e-123	352
FRAEX38873_v2_000000240.1	XP_022871838.1	88.6	1413	159	1	1	1413	1	1411	0.0	2456
FRAEX38873_v2_000000250.1	XP_022853460.1	94.5	127	7	0	113	239	134	260	5.04e-78	236
FRAEX38873_v2_000000260.1	XP_022859997.1	90.9	55	5	0	1	55	1	55	2.32e-27	105
FRAEX38873_v2_000000270.1	XP_022859978.1	79.6	318	60	2	2	317	3	317	4.53e-119	361
FRAEX38873_v2_000000280.1	XP_022853455.1	100	165	0	0	1	165	1	165	5.30e-98	280
FRAEX38873_v2_000000290.1	XP_022859959.1	94.0	364	22	0	1	364	1	364	9.57e-240	669
